1,JV,Quel est le nom du frere de Mario dans la série de jeux vidéos du meme nom?,Luigi,Wario,Waluigi,Yoshi
2,JV,Dans Age of Mythology : The titans quelle culture est ajoutée au jeu de base?,Atlantéenne,Grecque,Egyptienne,Nordique
1,JV,De quelle nationalité est le créateur de Tetris?,Russe,Francaise,Japonaise,Americaine
2,JV,Dans Crash Bandicoot quel est le nom du savant fou ennemi juré de Crash?,Néo Cortex,Tiny tiger,Nitrous oxide,Néfarious Tropy
1,JV,Quel animal est Sonic ?,Hérisson,Souris,Rat,Gerbille
1,JV,Dans les sims 4 quel celebre code permet de gagner 50 000 Simflouze?,Motherlode,Kashing,Money,Monims
1,JV,Quel celebre dragon violet incarnait on dans la série du meme nom?,Spyro,Crash,Dragoon,Dracolosse
2,JV,Combien dénombre t-on de Pokémon dans Pokémon Or & Argent?,251,151,201,301
1,JV,A quel série de jeux appartient Samus?,Metroid,Gears of war,Call of Duty,Assassin's Creed
1,JV,Quel studio à developpé Assassin's Creed?,Ubisoft,Arcane,Blizzard,Activision
3,JV,Dans WoW si vous allez à Lune d'Argent ou Shattrah quel celebre groupe de métal pourrez vous écouter?,Tauren Chieftain,Purple Elfs,Bloody orcs,Death Metal Warlocks
1,JV,Dans quelle ville fictive se déroule GTA V?,Los Santos,San andreas,Vice City,Old York
1,JV,Dans quel jeu vidéo peut on parcourir la fameuse route Arc-en-ciel?,Mario Kart,Need for Speed,God of War,Crash Team Racing
2,JV,Dans quel volet de pokémon peut on capture Kyogre?,Saphir,Rubis,Vert feuille,Or
2,JV,Qui est le fantôme de Sparte?,Kratos,Samus,Dante,Geralt de Riv
3,JV,Qui est le boss de fin de Prince of Persia?,Le grand vizir,Le prince,Yoshi,Farah
3,JV,Dans quelle ville se déroule le 1er True Crime?,Los Angeles,Chicago,New York,San Francisco
2,JV,Dans quel jeu peut on se battre entre super héros?,Injustice,Tekken,Street Fighter,Streets of Rage
3,JV,Dans League of Legends quel personnage est un vampire ?,Vladimir,Ahri,Nocturne,Gangplank
2,JV,De combien de touches disposait la guitare de Guitar hero?,5,4,6,8
3,JV,Dans Kena comment s'appellent les petits compagnons que l'on peut récuperer pour sauver la foret?,Les Rots,les Lums,les vrizz,les woods
2,JV,Dans le jeu vidéo quel mot qualifie le fait de passer son temps a récolter des ressources?,Le farm,Le harvest,Le rage quit,Le smurf
2,JV,Quel jeu mobile est le celebre succeseur de Bejeweled?,Candy Crush,Farmville,Zuma,Clash of Clans
3,JV,Sur quel support est adapté en premier le jeu Tekken?,Borne d'arcade,NES,Playstation,Atari
3,JV,Dans quel jeu vidéo Mario fait sa premiere apparition?,Donkey Kong,Super Mario,Super Mario Bros,Mario Kart
3,JV,Dans Naruto quel est le nom du démon renard contenu dans le corps de Naruto?,Kyubi,Minato,Kakashi,Obito
3,JV ,En quelle année est sortie la Gamecube?,2001,2000,1999,2002
1,MU,Combien de cordes comporte une guitare standard?,6,4,8,3
2,MU,Qui est le chanteur du groupe Rolling Stones?,Mick Jagger,Axel Rose,Sting,Iggy Pop
3,MU,"Dans quel album des Pink Floyd se trouve la chanson ""Summer '68""?",Atom Heart Mother,The Wall,Animals,Meddle
3,MU,Qui est le guitariste du groupe Rage Against The Machine?,Tom Morello,Keith Richards,Slash,Carlos Santana
1,MU,A quelle catégorie d'instruments appartient le piano?,Cordes,Cuivre,Vent,Percussions
1,MU,Quel artiste a vendu le plus d'exemplaires d'un album de tous les temps?,Michael Jackson,The Beatles,Madonna,Jul
1,MU,"Quel artiste interprète ""Livin' on a Prayer"" en 1986?",Bon Jovi,Billy Idol,Bruce Springsteen,Marylin Manson
2,MU,"Quel artiste interprète le titre ""Berzerk""?",Eminem,50 cent,Snoop Dogg,Kanye West
1,MU,"Quel groupe interprète en 1996 ""Don't Speak""",No Doubt,Spice Girls,Radiohead,Nickelback
2,MU,De quelle ville britannique est originaire le groupe Oasis?,Manchester,Cambridge,Londres,Newcastle
3,MU,"Quel artiste interprète en 1971 ""American Pie""?",Don McLean,Johnny Cash,Otis Redding,Bruce Springsteen
2,MU,A quel age John Lennon fut il assassiné?,40 ans,30 ans,35 ans,45 ans
1,MU,Quel guitariste chanteur tres réputé appartient au groupe Pink Floyd?,Gilmour,Richards,Slash,Bob Dylan
2,MU,Lequel de ces titres est celui d'un titre de Coldplay?,Yellow,Blue,Green,Violet
3,MU,Qui est le chanteur de The Strokes?,Casablancas,Turner,Presley,Cyrus
3,MU,Lequel de ces titres n'est PAS un de ceux interprétés par Blondie?,Fire,Heart of glass,Call me,Atomic
1,MU,Sous quel nom était mieux connu Jean Philippe Smet?,Halliday,Dassin,Voulzy,Souchon
3,MU,En quelle année est mort Freddie Mercury?,1991,1992,1990,1993
2,MU,Lequel de ces artistes n'appartient PAS au club des 27? ,Redding,Hendrix,Winehouse,Cobain
1,MU,Sous quel nom connait on mieux Valentin Le Du?,Vald,JUL,Orelsan,Damso
3,MU,Quel celebre groupe de rap composaient Kool Shen et Joey Starr?,NTM,IAM,Fonky Family,1995
2,MU,"Quel groupe de punk rock des années 2000 inteprètait ""All the small things""?",Blink 182,Sum 41,Green day,Offspring
2,MU,"Qui interpretait ""In the summertime"" en 1970?",Mungo Jerry,B.B King,Bill Withers,Presley
1,MU,Qui a composé les musiques de Star Wars?,John williams,J.J Abraham,Dan Elfman,Aya Nakamura
2,MU,"A quel artiste Francais doit-on ""Qui de nous deux""?",M,Téléphone,Patrick Fiori,Julien Doré
3,MU,Combien de notes comptent un octave ?,12,10,8,14
3,MU,"Quel rappeur francais a interprété ""Cascade""?",Alpha Wann,Nekfeu,Vald,Orelsan
3,MU,Quel est le prénom du rappeur 50 cent?,Curtis,Marshall,James,Taylor
2,MU,"Qui intepretait ""Rocket Man"" en 1972?",Elton John,Beatles,Billy Joel,Springsteen
1,MU,"Quel groupe interpretait en 2006 ""Starlight""?",Muse,Green Day,Sum 41,ACDC
1,NS,Dans quel galaxie se trouve le systeme solaire?,Voie lactée,Andromede,Cigare,Tetard
2,NS,Combien vaut 6 fois 7?,42,38,54,81
2,NS,Quelle couleur obtient-on en mélangeant du cyan et du magenta?,Bleu,Jaune,Violet,Rouge
3,NS,Lequel de ces satellites n'appartient PAS à Saturne?,IO,Titan,Impérius,Rhéa
3,NS,Quel est le symbole chimique de l'or?,Au,O,Or,Te
3,NS,De quelle fleur est issu le safran?,Crocus,Colechique,Primevère,Jonquille
2,NS,De quel animal domestique les moustaches sont-elles appelées les virbrisses?,Chat,Chien,Hamster,Poisson rouge
1,NS,De quel pourcentage d'oxygène est composé l'air dans l'atmosphère terrestre?,21,33,78,3
1,NS,Combien de côtés comporte un octogone?,8,5,6,10
1,NS,Depuis combien d'années notre planete existe t'elle?, 4.5 milliards ,2.5 milliards,1 millions,500 millions
3,NS,En moyenne quelle est l'esperance de vie d'un pigeon?,6 ans,3 ans,10 ans,7 ans
2,NS,A combien d'années environ avant JC situons nous l'apparition de l'homme?,3 millions,5 millions,1 milliard,500 000
2,NS,Quel est le 12e signe astrologique du zodiaque?,Poissons,Lion,Cancer,Bélier
2,NS,Quel pourcentage d'eau recouvre la Terre?,71,75,69,82
1,NS,Quel arbre donne un sirop sucré?,Erable,Pommier,Chêne,Peuplier
2,NS,Combien de degrés comporte l'echelle de Richter?,9,8,10,11
2,NS,Quel alliage est fait de cuivre et de zinc?,Laiton,Acier,Fonte,Bronze
1,NS,Combien y a t'il de groupes sanguins différents?,4,3,5,2
2,NS,Dans quelle partie du corps se trouve l'enclume?,Oreille,Jambe,Bras,Pied
1,NS,Quel élément d'un ordinateur prend en charge le stockage?,Disque dur,RAM,Carte mère,Carte son
1,NS,Sous quel nom connait on mieux l'acide acétylsalicylique?,Aspirine,Doliprane,Smecta,Monoï
1,SL,Quelle est la durée réglementaire d'un match de football?,90 minutes,60 minutes,45 minutes,120 minutes
2,SL,Combien de trous comporte un grand parcours standard de Golf?,18,11,16,27
2,SL,Combien de fois la France a t'elle été sacrée championne du monde de Football?,2,1,0,3
3,SL,De quelle nationalité est le joueur Luka Modric?,Croate,Serbe,Allemande,Turque
1,SL,De quelle nationalité est le joueur de tennis Roger Federer?,Suisse,Francaise,Espagnole,Bolivienne
2,SL,Combien de cases comporte un Sudoku?,81,78,64,100
2,SL,Qui est le Youtuber ayant le plus d'abonnés au monde en 2022 dépassant les 100 millions d'abonnés?,PewDiePie,Felipe Neto,Cyprien,Nota Bene
1,SL,Quel est le livre le plus vendu au monde?,La bible,Harry Potter 1,Bel-Ami,Le Bro Code
1,SL,Combien de cartes comporte un jeu de cartes classique?,54,51,32,31
3,SL,Laquelle de ces combinaisons n'existe pas au poker?,Duo,Brelan,Couleur,Quinte Flush
1,SL,Au billard de quelle couleur est la boule numéro 8?,Noire,Jaune,Rouge,Bleue
2,SL,Quel sport se joue avec un maillet et des boules en bois?,Croquet,Criquet,Billard,Polo
3,SL,Aux 1000 bornes quelle est la valeur maximale que l'on peut jouer en une carte?,200,100,300,400
3,SL,De combien de joueurs se compose une équipe de Baseball?,9,8,10,11
2,SL,Combien de pas maximum sont autorisés au basket sans dribbler?,2,3,1,5
3,SL,En quelle année a eu lieu le premier Tour de France?,1903,1916,1898,1955
3,SL,Quel cycliste était surnommé le Cannibale?,Merckx,Poulidor,Armstrong,Thevenet
3,SL,Aux Jeux olympiques combien de fleches doivent tirer chaque archer?,72,60,38,18
3,SL,Que collectionne un philateliste?,Timbres,Pieces de monnaie,Capsules,Cartes de tarot
2,SL,De quelle nationalité est Usain Bolt?,Jamaicaine,Norvégienne,Sud Africaine,Kenyanne
1,SL,Avec quoi joue t'on au Mah-Jong?,Dominos,Cartes,Dés,Asperges
2,SL,Dans quel discipline excellait Marcel Serdan?,Boxe,Ski,Cyclisme,Deltaplane
1,SL,De quelle nationalité est l'équipe de Rugby surnommée les Wallabies?,Australie,Nouvelle Zélande,France,Irlande
2,SL,Combien de points au maximum est il possible de marquer au Bowling?,300,200,150,400
1,SL,Dans quel sport les arbitres utilisent-ils la langue Francaise?,Escrime,Boxe,Saut a la perche,Lancer de poids
3,SL,Au golf combien de clubs maximum les joueurs peuvent -ils emporter?,14,11,9,6
1,SL,Au judo quel grade de ceinture est le plus bas?,Blanche,Jaune,Noire,Verte
2,SL,Quel pays est specialiste du lancer de tronc d'arbre ou de poutre?,Ecosse,France,Allemagne,Suisse
3,SL,Lequel de ces termes ne se rapporte pas à la Pétanque?,Quille,Biberon,Cochonnet,Fanny
1,SL,A quelle vitesse en km/h peut courir un lévrier?,60,30,120,90
3,NS,Un microscope permet de grossir combien de fois l'image ?,2500,500,50,25000
3,NS,Combien y a t'il de quarts d'heure dans une journée?,96,24,178,124
3,NS,Quelle temperature règne a la surface du soleil?,5000°C,10000°C,200°C,2000°C
3,NS, Combien de temps met la lumiere pour aller de la Lune à la Terre?,1 seconde,5 secondes,20 secondes,1 minute
2,NS,Ou se trouve l'hypophyse?,Cerveau,Foie,Coeur,Rein
1,NS,Quel est l'autre nom du coeur?,Myocarde,Encéphale,Synapse,Ligament
3,NS,Combien d'os dénombre t-on dans le pied?,26,19,35,23
1,NS,Quel élément chimique est utilisé comme abrasif dans le dentifrice?,Fluor,Carbone,Tellure,Uranium
3,NS,Quel élément chimique de numéro atomique 118 est le dernier élément chimique du tableau périodique?,Oganesson,Tennessine,Moscovium,Nihonium
